hyp -> con,       occurrence(hyp),     occurrence(con),      support(rule),       confidence,      classical index,         entropic index,     classical simi,       entropic simi
V11 -> V47, 101.0000000000000000, 78.0000000000000000, 61.9631901840490755, 48.5148514851485118, 53.6707878112792969, 35.3574063922536581, 53.8314759731292725, 0.0000000000000000
V47 -> V11, 78.0000000000000000, 101.0000000000000000, 47.8527607361963234, 62.8205128205128176, 50.0101061239654570, 38.0288951496225920, 53.8314759731292725, 0.0000000000000000
V11 -> V16, 101.0000000000000000, 78.0000000000000000, 61.9631901840490755, 48.5148514851485118, 53.6707878112792969, 35.3574063922536581, 53.8314759731292725, 0.0000000000000000
V16 -> V11, 78.0000000000000000, 101.0000000000000000, 47.8527607361963234, 62.8205128205128176, 50.0101061239654570, 38.0288951496225920, 53.8314759731292725, 0.0000000000000000
V11 -> V45, 101.0000000000000000, 77.0000000000000000, 61.9631901840490755, 44.5544554455445549, 35.5145454406738281, 22.2989670746817232, 34.7316831350326538, 0.0000000000000000
V45 -> V11, 77.0000000000000000, 101.0000000000000000, 47.2392638036809842, 58.4415584415584419, 26.9794014899097725, 19.6741124589481799, 34.7316831350326538, 0.0000000000000000
V11 -> V18, 101.0000000000000000, 76.0000000000000000, 61.9631901840490755, 48.5148514851485118, 60.2515637874603271, 40.0473882053604697, 60.9507083892822266, 0.0000000000000000
V18 -> V11, 76.0000000000000000, 101.0000000000000000, 46.6257668711656379, 64.4736842105263150, 59.1983487722983739, 45.9805650228738614, 60.9507083892822266, 0.0000000000000000
V11 -> V35, 101.0000000000000000, 76.0000000000000000, 61.9631901840490755, 40.5940594059405981, 20.3346550464630127, 12.1147249406784958, 18.7339082360267639, 0.0000000000000000
V35 -> V11, 76.0000000000000000, 101.0000000000000000, 46.6257668711656379, 53.9473684210526301, 11.2484830040920354, 7.8312221024706723, 18.7339082360267639, 0.0000000000000000
V11 -> V38, 101.0000000000000000, 76.0000000000000000, 61.9631901840490755, 47.5247524752475243, 54.9209862947463989, 36.0543947905517683, 55.2631437778472900, 0.0000000000000000
V38 -> V11, 76.0000000000000000, 101.0000000000000000, 46.6257668711656379, 63.1578947368421026, 51.7890020382490448, 39.7297891765311135, 55.2631437778472900, 0.0000000000000000
V11 -> V8, 101.0000000000000000, 74.0000000000000000, 61.9631901840490755, 49.5049504950495063, 71.1737126111984253, 48.2592063609093316, 72.9882657527923584, 0.0000000000000000
V8 -> V11, 74.0000000000000000, 101.0000000000000000, 45.3987730061349666, 67.5675675675675649, 74.8850851430604365, 60.0728001257199793, 72.9882657527923584, 0.0000000000000000
V11 -> V2, 101.0000000000000000, 74.0000000000000000, 61.9631901840490755, 44.5544554455445549, 45.4288840293884277, 28.9624859896432056, 44.9891865253448486, 0.0000000000000000
V2 -> V11, 74.0000000000000000, 101.0000000000000000, 45.3987730061349666, 60.8108108108108141, 38.8102584328433551, 29.2733412682854066, 44.9891865253448486, 0.0000000000000000
